,Date,short-liquidations-usd
285,01 Sep '19,"30,507,687.1779"
286,02 Sep '19,"86,113,408.68445"
287,02 Sep '19,"86,113,408.68445"
288,03 Sep '19,"30,602,152.468025"
289,03 Sep '19,"30,602,152.468025"
290,04 Sep '19,"30,607,092.741025"
291,05 Sep '19,"3,099,452.44475"
292,05 Sep '19,"3,099,452.44475"
293,06 Sep '19,"26,626,833.254375"
294,07 Sep '19,"5,482,503.752375"
295,07 Sep '19,"5,482,503.752375"
296,08 Sep '19,"3,090,497.139325"
297,08 Sep '19,"3,090,497.139325"
298,09 Sep '19,"27,379,029.74245"
299,10 Sep '19,"2,205,874"
300,10 Sep '19,"2,205,874"
301,11 Sep '19,"17,632,990"
302,12 Sep '19,"19,702,578.266325"
303,12 Sep '19,"19,702,578.266325"
304,13 Sep '19,"2,269,239.66075"
305,13 Sep '19,"2,269,239.66075"
306,14 Sep '19,"2,338,991.860175"
307,15 Sep '19,"35,850"
308,15 Sep '19,"35,850"
309,16 Sep '19,"9,950,589.3916"
310,17 Sep '19,"1,662,991"
311,17 Sep '19,"1,662,991"
312,18 Sep '19,"1,451,002"
313,18 Sep '19,"1,451,002"
314,19 Sep '19,"71,378,947.261175"
315,20 Sep '19,"1,042,228.509075"
316,20 Sep '19,"1,042,228.509075"
317,21 Sep '19,"1,481,386.060325"
318,21 Sep '19,"1,481,386.060325"
319,22 Sep '19,"9,919,934.66315"
320,23 Sep '19,"5,960,618.31577"
321,23 Sep '19,"5,960,618.31577"
322,24 Sep '19,"13,781,908.77035886"
323,25 Sep '19,"15,135,906.97016123"
324,25 Sep '19,"15,135,906.97016123"
325,26 Sep '19,"21,306,149.44002171"
326,26 Sep '19,"21,306,149.44002171"
327,27 Sep '19,"8,855,586.2751"
328,28 Sep '19,"15,244,530.424725"
329,28 Sep '19,"15,244,530.424725"
330,29 Sep '19,"4,700,517.23235"
331,30 Sep '19,"26,012,001.868335"
332,30 Sep '19,"26,012,001.868335"
333,01 Oct '19,"8,098,432.3501"
334,01 Oct '19,"8,098,432.3501"
335,02 Oct '19,"5,123,940.8044"
336,03 Oct '19,"7,060,493.045725"
337,03 Oct '19,"7,060,493.045725"
338,04 Oct '19,"2,896,119.7892"
339,04 Oct '19,"2,896,119.7892"
340,05 Oct '19,"3,021,122.5554"
341,06 Oct '19,"4,413,440.79355"
342,06 Oct '19,"4,413,440.79355"
343,07 Oct '19,"24,972,796.85845"
344,08 Oct '19,"3,384,098.878625"
345,08 Oct '19,"3,384,098.878625"
346,09 Oct '19,"61,297,092.180625"
347,09 Oct '19,"61,297,092.180625"
348,10 Oct '19,"2,661,906.79565"
349,11 Oct '19,"24,128,310.4733"
350,11 Oct '19,"24,128,310.4733"
351,12 Oct '19,"2,373,609.5704840003"
352,13 Oct '19,"3,175,741.08840955"
353,13 Oct '19,"3,175,741.08840955"
354,14 Oct '19,"3,453,745.8005"
355,14 Oct '19,"3,453,745.8005"
356,15 Oct '19,"3,945,394.275125"
357,16 Oct '19,"2,170,138.9269000003"
358,16 Oct '19,"2,170,138.9269000003"
359,17 Oct '19,"2,329,760.2227499997"
360,18 Oct '19,"2,968,227.217575"
361,18 Oct '19,"2,968,227.217575"
362,19 Oct '19,"13,199,463.01415"
363,19 Oct '19,"13,199,463.01415"
364,20 Oct '19,"25,852,259.18385"
365,21 Oct '19,"4,264,174.95025"
366,21 Oct '19,"4,264,174.95025"
367,22 Oct '19,"2,312,793.5269"
368,22 Oct '19,"2,312,793.5269"
369,23 Oct '19,"1,601,575.88924198"
370,24 Oct '19,"809,473.0937999999"
371,24 Oct '19,"809,473.0937999999"
372,25 Oct '19,"201,120,688.58352116"
373,26 Oct '19,"229,179,069.89099818"
374,26 Oct '19,"229,179,069.89099818"
375,27 Oct '19,"37,911,318.6828026"
376,27 Oct '19,"37,911,318.6828026"
377,28 Oct '19,"12,373,384.63192992"
378,29 Oct '19,"14,067,153.8044"
379,29 Oct '19,"14,067,153.8044"
380,30 Oct '19,"4,737,883.598075"
381,31 Oct '19,"17,237,225.349749997"
382,31 Oct '19,"17,237,225.349749997"
383,01 Nov '19,"12,354,851.3279"
384,01 Nov '19,"12,354,851.3279"
385,02 Nov '19,"10,062,804.985625"
386,03 Nov '19,"1,682,958.0383"
387,03 Nov '19,"1,682,958.0383"
388,04 Nov '19,"39,488,670.759975"
389,05 Nov '19,"5,572,979.694975"
390,05 Nov '19,"5,572,979.694975"
391,06 Nov '19,"1,699,228.9316"
392,06 Nov '19,"1,699,228.9316"
393,07 Nov '19,"1,997,617.496825"
394,08 Nov '19,"6,758,623.943175"
395,08 Nov '19,"6,758,623.943175"
396,09 Nov '19,"1,504,936.15285"
397,09 Nov '19,"1,504,936.15285"
398,10 Nov '19,"31,661,249.690120082"
399,11 Nov '19,"3,711,361.807425"
400,11 Nov '19,"3,711,361.807425"
401,12 Nov '19,"13,937,292.879774999"
402,13 Nov '19,"2,478,094.897125"
403,13 Nov '19,"2,478,094.897125"
404,14 Nov '19,"2,011,653.7744"
405,14 Nov '19,"2,011,653.7744"
406,15 Nov '19,"19,184,280.376725"
