,Date,long-liquidations-usd,Unnamed: 2,Unnamed: 3,Unnamed: 4
627,2020-11-29,16663530.46,,,
628,2020-11-30,45305646.62,,,
629,2020-12-01,193479670.8,,,
630,2020-12-02,34071409.24,,,
631,2020-12-03,18962108.36,,,
632,2020-12-04,62305066.92,,,
633,2020-12-05,7461237.945,,,
634,2020-12-06,12033494.81,,,
635,2020-12-07,20128823.42,,,
636,2020-12-08,144702157.7,,,
637,2020-12-09,82669822.88,,,
638,2020-12-10,22897463.71,,,
639,2020-12-11,53242714.19,,,
640,2020-12-12,7370905.581,,,
641,2020-12-13,17102216.71,,,
642,2020-12-14,7798343.39,,,
643,2020-12-15,19163077.7,,,
644,2020-12-16,27036949.84,,,
645,2020-12-17,214241664.9,,,
646,2020-12-18,46406204.16,,,
647,2020-12-19,42962151.34,,,
648,2020-12-20,117780118.3,,,
649,2020-12-21,265401916.4,,,
650,2020-12-22,44235994.72,,,
651,2020-12-23,146259191.8,,,
652,2020-12-24,24578847.97,,,
653,2020-12-25,56843202.46,,,
654,2020-12-26,56439812.6,,,
655,2020-12-27,287869928.0,,,
656,2020-12-28,89128658.41,,,
657,2020-12-29,79010153.48,,,
658,2020-12-30,89078229.39,,,
659,2020-12-31,126921499.8,,,
660,2021-01-01,56369996.67,,,
661,2021-01-02,234538783.9,,,
662,2021-01-03,257372835.8,,,
663,2021-01-04,779800199.3,,,
664,2021-01-05,156157519.3,,,
665,2021-01-06,183505536.5,,,
666,2021-01-07,353497476.8,,,
667,2021-01-08,330322886.8,,,
668,2021-01-09,104965889.0,,,
669,2021-01-10,626068091.1,,,
670,2021-01-11,802575681.6,,,
671,2021-01-12,225588349.9,,,
672,2021-01-13,116912611.8,,,
673,2021-01-14,167744862.8,,,
674,2021-01-15,423528548.4,,,
675,2021-01-16,149955894.5,,,
676,2021-01-17,145560670.4,,,
677,2021-01-18,108777236.7,,,
678,2021-01-19,129734334.2,,,
679,2021-01-20,275882748.2,,,
680,2021-01-21,482522772.8,,,
681,2021-01-22,207070364.3,,,
682,2021-01-23,84507051.8,,,
683,2021-01-24,105330487.9,,,
684,2021-01-25,144701764.5,,,
685,2021-01-26,128630201.8,,,
686,2021-01-27,217259924.5,,,
687,2021-01-28,41922863.18,,,
688,2021-01-29,451578180.6,,,
689,2021-01-30,141150317.4,,,
690,2021-01-31,136471406.8,,,
691,2021-02-01,52024318.52,,,
692,2021-02-02,39944062.24,,,
693,2021-02-03,48047663.87,,,
694,2021-02-04,158524656.3,,,
695,2021-02-05,53280285.58,,,
696,2021-02-06,150110307.5,,,
697,2021-02-07,261771063.0,,,
698,2021-02-08,243646959.6,,,
699,2021-02-09,207252642.5,,,
700,2021-02-10,307192842.9,,,
701,2021-02-11,148033367.3,,,
702,2021-02-12,149734579.3,,,
703,2021-02-13,79812748.9,,,
704,2021-02-14,107287830.4,,,
705,2021-02-15,386586787.0,,,
706,2021-02-16,224141559.8,,,
707,2021-02-17,82283099.25,,,
708,2021-02-18,114085718.7,,,
709,2021-02-19,107473881.1,,,
710,2021-02-20,361173334.9,,,
711,2021-02-21,89507620.44,,,
